binomial,response,presence,origin,Hand.Wing.Index,Tail.Length,volant,Trophic.Niche,Primary.Lifestyle,ln.Mass,ln.Clutch,ln.Beak.Depth,ln.Beak.Length_Nares,Habitat
Acanthis_flammea,0,Extant,Native,33.1,58.7,1,Granivore,Generalist,2.5649493574615367,1.6094379124341003,1.8718021769015913,2.0541237336955462,3
Accipiter_gentilis,0,Extant,Native,36.3,241.1,1,Vertivore,Generalist,6.763884908562435,1.252762968495368,2.8903717578961645,2.975529566236472,3
Accipiter_nisus,0,Extant,Native,35.5,155.5,1,Vertivore,Insessorial,5.39725731440294,1.55814461804655,2.302585092994046,2.4336133554004498,4
Acrocephalus_arundinaceus,0,Extant,Native,28.6,80.8,1,Invertivore,Insessorial,3.4011973816621555,1.4350845252893227,1.6863989535702288,2.5494451709255714,5+
Acrocephalus_melanopogon,1,Extant,Native,19.3,47.8,1,Invertivore,Insessorial,2.388762789235098,1.3862943611198906,0.9162907318741551,1.9740810260220096,1
Acrocephalus_paludicola,0,Extant,Native,28.4,47.2,1,Invertivore,Insessorial,2.451005098112319,1.596352672885445,1.0647107369924282,1.9459101490553132,2
Acrocephalus_palustris,0,Extant,Native,27.9,56.5,1,Invertivore,Insessorial,2.4423470353692043,1.4838746894587547,1.1939224684724346,2.1041341542702074,5+
Acrocephalus_schoenobaenus,0,Extant,Native,28.2,48.9,1,Invertivore,Insessorial,2.468099531471619,1.7047480922384253,1.0296194171811581,2.1041341542702074,5+
Acrocephalus_scirpaceus,0,Extant,Native,24.3,51.1,1,Invertivore,Insessorial,2.509599262378372,1.3609765531356006,1.0647107369924282,2.163323025660538,4
Actitis_hypoleucos,0,Extant,Native,48,57.4,1,Aquatic predator,Terrestrial,3.871201010907891,1.3862943611198906,1.3862943611198906,2.990719731730447,5+
Aegithalos_caudatus,0,Extant,Native,22,87.8,1,Invertivore,Insessorial,2.151762203259462,2.2925347571405443,1.1939224684724346,1.4350845252893227,4
Aegolius_funereus,0,Extant,Native,31.5,102.5,1,Vertivore,Insessorial,4.921439715291784,1.638025369286013,2.3513752571634776,2.3978952727983707,1
Aegypius_monachus,0,Extant,Native,41.1,371,1,Scavenger,Terrestrial,9.139982283289886,0,3.6838669122903918,4.092676505121403,3
Alauda_arvensis,0,Extant,Native,33.6,67.6,1,Omnivore,Terrestrial,3.6189933266497696,1.2325602611778486,1.547562508716013,2.174751721484161,5+
Alcedo_atthis,0,Extant,Native,26.9,32.3,1,Aquatic predator,Insessorial,3.4372078191851885,1.8718021769015913,2.0014800002101243,3.481240089335692,5+
Alectoris_barbara,0,Extant,Native,28.5,97.2,1,Omnivore,Terrestrial,6.03140615420093,2.4849066497880004,2.2512917986064953,2.653241964607215,3
Alectoris_graeca,0,Extant,Native,36.9,82.3,1,Herbivore terrestrial,Terrestrial,6.3870476553616955,2.3978952727983707,2.163323025660538,2.5494451709255714,2
Alectoris_rufa,3,Extant,Native,25.8,90.5,1,Herbivore terrestrial,Terrestrial,6.268906871829571,2.4849066497880004,2.163323025660538,2.5416019934645457,4
Anas_acuta,0,Extant,Native,57.8,124.7,1,Herbivore aquatic,Aquatic,6.850761557462016,2.0412203288596382,2.6946271807700692,3.462606009790799,3
Anas_crecca,2,Extant,Native,53.5,61.2,1,Herbivore aquatic,Aquatic,5.834518296645255,2.2512917986064953,2.4336133554004498,3.3877743613300146,5+
Anas_platyrhynchos,3,Extant,Native,50.7,86.9,1,Herbivore aquatic,Aquatic,6.73744134131246,2.3528028091546633,2.8791984572980396,3.713572066704308,2
Anser_albifrons,0,Extant,Native,52.6,123.5,1,Herbivore terrestrial,Terrestrial,7.826602739637982,1.7047480922384253,2.8622008809294686,3.3178157727231046,5+
Anser_anser,0,Extant,Native,47.2,136.1,1,Herbivore terrestrial,Terrestrial,8.10240475584719,1.6094379124341003,3.0726933146901194,3.459466289786131,3
Anser_fabalis,0,Extant,Native,50.2,133.9,1,Herbivore terrestrial,Terrestrial,7.92106382273579,1.6094379124341003,3.131136910560194,3.696351468952637,4
Anthus_campestris,0,Extant,Native,28.5,70.6,1,Invertivore,Terrestrial,3.1354942159291497,1.4350845252893227,1.3609765531356006,2.2925347571405443,5+
Anthus_cervinus,0,Extant,Native,27.5,56.6,1,Invertivore,Terrestrial,3.039749158970765,1.6789639750827108,1.0986122886681098,2.066862759472976,5+
Anthus_pratensis,0,Extant,Native,24.3,56.3,1,Invertivore,Terrestrial,2.91235066461494,1.5633939739326936,1.1314021114911006,2.0918640616783932,5+
Anthus_richardi,0,Extant,Native,29.3,71.6,1,Invertivore,Terrestrial,3.4719664525503626,1.252762968495368,1.4586150226995167,2.424802725718295,2
Anthus_spinoletta,0,Extant,Native,23.4,63.3,1,Invertivore,Terrestrial,3.173878458937465,1.5260563034950492,1.2237754316221157,2.272125885509337,5+
Anthus_trivialis,0,Extant,Native,29.3,59.9,1,Invertivore,Terrestrial,3.1484533605716547,1.534714366238164,1.33500106673234,2.0794415416798357,5+
Apus_apus,14,Extant,Native,71.6,67.4,1,Invertivore,Aerial,3.6270040503958487,0.8329091229351039,1.0296194171811581,1.4586150226995167,5+
Apus_pallidus,0,Extant,Native,72.3,72,1,Invertivore,Aerial,3.735285826928092,0.8960880245566357,0.8329091229351039,1.5260563034950492,5+
Aquila_chrysaetos,0,Extant,Native,36.7,307.1,1,Vertivore,Aerial,8.354203562921775,0.6931471805599453,3.3463891451671604,3.6109179126442243,5+
Aquila_fasciata,0,Extant,Native,37.3,260,1,Vertivore,Aerial,7.568637498954807,0.6931471805599453,3.1654750481410856,3.3638415951183864,5+
Ardea_alba,0,Extant,Native,32.1,140.5,1,Aquatic predator,Terrestrial,6.769986349237241,1.308332819650179,2.89591193827178,4.504244267398131,4
Ardea_cinerea,0,Extant,Native,34.6,169.1,1,Aquatic predator,Terrestrial,7.274479558773871,1.459777137879694,3.2347491740244907,4.5591262474866845,5+
Ardea_purpurea,0,Extant,Native,33.9,113.2,1,Aquatic predator,Terrestrial,6.970260484333534,1.4350845252893227,2.975529566236472,4.629862798578463,4
Ardeola_ralloides,1,Extant,Native,32.4,75.8,1,Aquatic predator,Terrestrial,5.659482215759621,1.3862943611198906,2.468099531471619,3.9415818076696905,2
Arenaria_interpres,0,Extant,Native,55.6,61,1,Aquatic predator,Terrestrial,4.912654885736052,1.3862943611198906,1.7047480922384253,2.7536607123542622,4
Asio_flammeus,1,Extant,Native,47.5,146.5,1,Vertivore,Aerial,5.776413165691109,1.791759469228055,2.5649493574615367,2.617395832834079,3
Asio_otus,1,Extant,Native,41.2,137,1,Vertivore,Aerial,5.692384429703832,1.5040773967762742,2.5257286443082556,2.7013612129514133,5+
Athene_noctua,1,Extant,Native,31.8,74.2,1,Omnivore,Insessorial,5.129306823813755,1.3862943611198906,2.4336133554004498,2.451005098112319,4
Aythya_ferina,1,Extant,Native,50.1,53.7,1,Herbivore aquatic,Aquatic,6.71295620067707,2.174751721484161,2.617395832834079,3.417726683613366,4
Aythya_fuligula,0,Extant,Native,50.1,53.4,1,Herbivore aquatic,Aquatic,6.552793153047079,2.2617630984737906,2.580216829592325,3.3178157727231046,3
Aythya_marila,0,Extant,Native,48.9,53.5,1,Aquatic predator,Aquatic,6.913140751258475,2.2407096892759584,2.6602595372658615,3.391147045808654,3
Aythya_nyroca,0,Extant,Native,48.9,53,1,Herbivore aquatic,Aquatic,6.352629396319567,2.1972245773362196,2.5257286443082556,3.3141860046725258,3
Bombycilla_garrulus,0,Extant,Native,37.8,65.8,1,Omnivore,Insessorial,3.996364153861897,1.6094379124341003,1.791759469228055,2.028148247292285,2
Bonasa_bonasia,0,Extant,Native,33,117.8,1,Herbivore terrestrial,Generalist,6.061456918928017,1.9600947840472698,2.2082744135228043,2.4159137783010487,1
Botaurus_stellaris,0,Extant,Native,31.2,98.3,1,Aquatic predator,Terrestrial,7.185008155943379,1.6094379124341003,2.7788192719904172,4.005513348515485,2
Bubo_bubo,0,Extant,Native,33,244.5,1,Vertivore,Insessorial,7.8892717957739995,0.8109302162163288,3.258096538021482,3.2809112157876537,5+
Bubulcus_ibis,0,Extant,Native,29.9,90.9,1,Omnivore,Terrestrial,5.902633333401366,1.4469189829363254,2.4423470353692043,3.7727609380946383,4
Bucephala_clangula,0,Extant,Native,51.4,82,1,Aquatic predator,Aquatic,6.8228507718916935,2.2512917986064953,2.4765384001174837,2.8735646395797834,3
Burhinus_oedicnemus,0,Extant,Native,47.7,116.6,1,Invertivore,Terrestrial,6.129050210060545,0.6931471805599453,2.2082744135228043,3.0252910757955354,3
Buteo_buteo,0,Extant,Native,38.3,214.4,1,Vertivore,Insessorial,6.632133521022722,1.0986122886681098,2.8094026953624978,3.095577608523707,5+
Buteo_lagopus,0,Extant,Native,42.1,240,1,Vertivore,Insessorial,6.856251436115022,1.3862943611198906,2.766319109226186,3.005682604407159,5+
Buteo_rufinus,0,Extant,Native,40.5,244.5,1,Vertivore,Generalist,7.061505878788056,1.1786549963416462,2.9856819377004897,3.1570004211501135,5+
Calandrella_brachydactyla,0,Extant,Native,34.5,59.8,1,Omnivore,Terrestrial,3.0492730404820207,1.3875435805203225,1.62924053973028,2.151762203259462,3
Calcarius_lapponicus,0,Extant,Native,30.7,67.8,1,Granivore,Terrestrial,3.3250360206965914,1.6094379124341003,1.916922612182061,2.186051276738094,4
Calidris_alba,0,Extant,Native,52.3,50.2,1,Aquatic predator,Terrestrial,3.9454577815143836,1.3862943611198906,1.4350845252893227,3.054001181677967,3
Calidris_alpina,0,Extant,Native,53.4,48.6,1,Aquatic predator,Terrestrial,3.949318790171843,1.3862943611198906,1.4586150226995167,3.3357695763397,5+
Calidris_canutus,0,Extant,Native,57.9,60.4,1,Aquatic predator,Terrestrial,4.955122584165997,1.3699108818693666,1.7404661748405046,3.2809112157876537,4
Calidris_falcinellus,0,Extant,Native,53.9,36.6,1,Aquatic predator,Terrestrial,3.6136169696133895,1.3862943611198906,1.4816045409242156,3.2809112157876537,4
Calidris_ferruginea,0,Extant,Native,54.9,48.6,1,Aquatic predator,Terrestrial,4.062165663857866,1.3862943611198906,1.4586150226995167,3.4531571205928664,5+
Calidris_minuta,0,Extant,Native,50.6,35.6,1,Aquatic predator,Terrestrial,3.0492730404820207,1.3862943611198906,1.1939224684724346,2.6946271807700692,5+
Calidris_pugnax,0,Extant,Native,51,60,1,Aquatic predator,Terrestrial,4.880526608749236,1.3862943611198906,1.62924053973028,3.2846635654062037,5+
Calidris_temminckii,0,Extant,Native,50,46.2,1,Aquatic predator,Terrestrial,3.1354942159291497,1.3862943611198906,1.1314021114911006,2.681021528714291,5+
Calonectris_diomedea,3,Extant,Native,64.1,114.2,1,Aquatic predator,Generalist,6.282266746896006,0,2.6390573296152584,3.7013019741124933,5+
Caprimulgus_europaeus,0,Extant,Native,53.4,130.6,1,Invertivore,Aerial,4.204692619390966,0.6931471805599453,1.1314021114911006,1.9878743481543455,3
Carduelis_carduelis,19,Extant,Native,33.4,48.6,1,Granivore,Insessorial,2.772588722239781,1.589235205116581,1.9740810260220096,2.4159137783010487,5+
Carduelis_citrinella,0,Extant,Native,30.3,53.3,1,Granivore,Generalist,2.4849066497880004,1.4985063517268187,1.6863989535702288,1.9740810260220096,3
Carpodacus_erythrinus,0,Extant,Native,30.8,58.6,1,Granivore,Insessorial,3.1780538303479458,1.589235205116581,2.066862759472976,2.0794415416798357,4
Catharacta_skua,0,Extant,Native,53.3,146.4,1,Aquatic predator,Aerial,7.199080706348717,0.6931471805599453,2.8507065015037334,3.0007198150650303,3
Cecropis_daurica,0,Extant,Native,53.2,96.1,1,Invertivore,Aerial,3.100092288878234,1.402413742999774,1.0986122886681098,1.6863989535702288,5+
Cercotrichas_galactotes,0,Extant,Native,21.8,70.5,1,Invertivore,Generalist,3.0106208860477417,1.252762968495368,1.3862943611198906,2.4595888418037104,5+
Certhia_brachydactyla,0,Extant,Native,17.7,57.1,1,Invertivore,Insessorial,2.1041341542702074,1.7749523509116738,0.9162907318741551,2.4069451083182885,3
Certhia_familiaris,0,Extant,Native,19.2,60.3,1,Invertivore,Insessorial,2.1972245773362196,1.6956156086751528,0.9555114450274363,2.501435951739211,1
Cettia_cetti,2,Extant,Native,14.3,58.2,1,Invertivore,Generalist,2.580216829592325,1.5040773967762742,1.0986122886681098,2.028148247292285,4
Charadrius_alexandrinus,0,Extant,Native,55,44.2,1,Aquatic predator,Terrestrial,3.744787086052232,1.0986122886681098,1.1314021114911006,2.379546134130174,5+
Charadrius_dubius,0,Extant,Native,51,55.6,1,Aquatic predator,Terrestrial,3.655839600035736,1.3862943611198906,1.1314021114911006,2.2300144001592104,5+
Charadrius_hiaticula,0,Extant,Native,53.5,60.2,1,Aquatic predator,Terrestrial,4.1588830833596715,1.252762968495368,1.308332819650179,2.1162555148025524,5+
Chlidonias_hybrida,0,Extant,Native,63.6,85.8,1,Aquatic predator,Aerial,4.4272389774954295,0.9688831819933256,2.0149030205422647,3.0007198150650303,3
Chlidonias_leucopterus,0,Extant,Native,61.4,75.4,1,Aquatic predator,Aerial,3.9926809084456005,1.0681530811834012,1.7404661748405046,2.8154087194227095,5+
Chlidonias_niger,0,Extant,Native,62.1,77.8,1,Aquatic predator,Aerial,4.178992036282385,1.0986122886681098,1.6863989535702288,2.91235066461494,5+
Chloris_chloris,0,Extant,Native,32.5,55.7,1,Granivore,Generalist,3.258096538021482,1.589235205116581,2.174751721484161,2.3978952727983707,3
Ciconia_ciconia,0,Extant,Native,45.9,249.8,1,Omnivore,Terrestrial,8.144911377098305,1.3862943611198906,3.4995332823830174,5.0330488889331555,2
Ciconia_nigra,0,Extant,Native,43.1,235.6,1,Aquatic predator,Terrestrial,7.98139158158007,1.252762968495368,3.3105430133940246,4.981549713201159,1
Cinclus_cinclus,1,Extant,Native,27.6,50.1,1,Aquatic predator,Generalist,4.119037174812473,1.5085119938441398,1.4816045409242156,2.4595888418037104,2
Circaetus_gallicus,0,Extant,Native,40.5,280.4,1,Vertivore,Aerial,7.437853978091713,0,3.202746442938317,3.5553480614894135,5+
Circus_aeruginosus,0,Extant,Native,45.6,233.9,1,Vertivore,Aerial,6.556920391525088,1.55814461804655,2.785011242238338,3.005682604407159,3
Circus_cyaneus,0,Extant,Native,44.7,131.7,1,Vertivore,Aerial,5.973809611869261,1.5040773967762742,2.5649493574615367,2.772588722239781,5+
Circus_macrourus,0,Extant,Native,52.4,226.6,1,Vertivore,Aerial,5.951683677096137,1.5040773967762742,2.5416019934645457,2.70805020110221,4
Circus_pygargus,0,Extant,Native,52,224.8,1,Vertivore,Aerial,5.739149618493492,1.4469189829363254,2.4159137783010487,2.6026896854443837,4
Cisticola_juncidis,1,Extant,Native,13.5,40.3,1,Invertivore,Generalist,1.916922612182061,1.308332819650179,0.9555114450274363,1.916922612182061,5+
Clamator_glandarius,0,Extant,Native,41.9,197.2,1,Invertivore,Insessorial,4.962844630259907,1.5686159179138452,2.128231705849268,2.928523523860541,4
Clanga_clanga,0,Extant,Native,37.9,261.4,1,Vertivore,Generalist,7.6752211237843815,0.6931471805599453,3.1441522786722644,3.4404180948154366,5+
Clanga_pomarina,0,Extant,Native,40.6,213,1,Vertivore,Generalist,7.214798704912538,0.6931471805599453,2.970414465569701,3.292126286607793,3
Clangula_hyemalis,0,Extant,Native,50.9,130.8,1,Aquatic predator,Aquatic,6.769641976852503,2.0149030205422647,2.4765384001174837,2.954910279033736,3
Coccothraustes_coccothraustes,1,Extant,Native,32.9,57.2,1,Omnivore,Insessorial,4.036008985209137,1.3862943611198906,2.70805020110221,2.8094026953624978,2
Columba_livia,0,Extant,Native,45.1,105.5,1,Granivore,Terrestrial,5.869861725348733,0.6931471805599453,1.6094379124341003,2.4932054526026954,3